13
10
1
2
0	    9999	1	    2	    9999	9999	9999	9999	9999	9999	9999	1	    9999
9999	0	    9999	2	    9999	9999	9999	9999	9999	9999	9999	9999	1
1	    9999	0	    9999	2	    9999	9999	9999	9999	9999	1   	9999	9999
2	    2	    9999	0	    3	    3	    9999	9999	9999	9999	9999	9999	9999
9999	9999	2	    3	    0	    9999	3	    3	    9999	9999	9999	9999	9999
9999	9999	9999	3	    9999	0	    9999	2	    9999	9999	9999	9999	9999
9999	9999	9999	9999	3	    9999	0	    9999	6	    9999	9999	9999	9999
9999	9999	9999	9999	3	    2	    9999	0	    6	    6	    9999	9999	9999
9999	9999	9999	9999	9999	9999	6	    6	    0	    9999	9999	9999	9999
9999	9999	9999	9999	9999	9999	9999	6	    9999	0	    9999	9999	9999
9999	9999	1   	9999	9999	9999	9999	9999	9999	9999	0	    9999	9999
1	    9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	    9999
9999	1   	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0
